dataset,model,layer,axis,role,readout,n,slope,intercept,pearson_r,spearman_rho,r2
COCO-2017-val,Molmo2-ER,21,distance,all-objects,single_object,4232,5.355192505869638,1.6332196783661088,0.5286196692720584,0.5211204091516911,0.2794387547413003
COCO-2017-val,Molmo2-ER,21,horizontal,all-objects,single_object,4232,6.2628419945729465,-0.019204981434085902,0.7645239131484057,0.7887529770051156,0.5844968137757516
COCO-2017-val,Molmo2-ER,21,vertical,all-objects,single_object,4232,8.20083616172627,-0.4970850559002524,0.7615202218449457,0.7739329396576392,0.5799130482787755
COCO-2017-val,Molmo2-ER,21,distance,reference,single_object_role,2116,7.103663308555473,2.4010149317719596,0.6231038330770644,0.6083674402861573,0.3882583867953301
COCO-2017-val,Molmo2-ER,21,distance,target,single_object_role,2116,3.5272711949640256,0.8625623962161499,0.4621572853576993,0.4523774646581136,0.21358935640919763
COCO-2017-val,Molmo2-ER,21,horizontal,reference,single_object_role,2116,7.795643356945945,0.639834564384886,0.81771065060049,0.8399463504976569,0.668650708105476
COCO-2017-val,Molmo2-ER,21,horizontal,target,single_object_role,2116,4.713656125529321,-0.7181107891153021,0.7521142631923275,0.7707905693852604,0.5656758648973379
COCO-2017-val,Molmo2-ER,21,vertical,reference,single_object_role,2116,10.215181116654527,-0.5666811958923187,0.7948463895438429,0.8007277100998117,0.6317807829708824
COCO-2017-val,Molmo2-ER,21,vertical,target,single_object_role,2116,6.162819703649021,-0.4267756714975844,0.7586329385483127,0.7630715176037619,0.5755239354504476
COCO-2017-val,Molmo2-ER,21,distance,target-reference,pair_difference,2116,8.011967078125029,-1.4653422098627193,0.6911055238178321,0.6876261361164867,0.4776268450515203
COCO-2017-val,Molmo2-ER,21,horizontal,target-reference,pair_difference,2116,7.22660625977079,-1.3492023437290965,0.8577513120283475,0.8705316065751545,0.7357373132863511
COCO-2017-val,Molmo2-ER,21,vertical,target-reference,pair_difference,2116,10.646061803436803,-0.26471596250137547,0.8597620560852173,0.8720442548864834,0.7391907930838805
